politician_name,revision_id,quality_prediction,pageid
Abdelkader Zoukh,1250270534.0,Start,76780000.0
Abdelkrim Benmbarek,1245801726.0,Stub,76446110.0
Abderrahmane Meziane Chérif,1220757834.0,Start,76412962.0
Abdeslam Bouchouareb,1203569345.0,Stub,50042323.0
Abdyl Ypi,1220281072.0,Stub,61607609.0
Aboubakr Belkaid,1176411375.0,Start,73468106.0
Ahmed Bidani,1212186965.0,Start,73393142.0
Ahmed Hamiani,1226452639.0,Stub,77040115.0
Ali Aoun,1214835889.0,Start,72041110.0
Aïssa Bekkai,1219685755.0,Stub,72217382.0
Basma Azouar,1192088820.0,Stub,72004407.0
Benaouda Hadj Hacène Bachterzi,1237478919.0,Stub,54801060.0
Bouras Djamel,1226437538.0,Stub,67257964.0
Brahim Chibout,1053460621.0,Stub,59054253.0
Brahim Djamel Kassali,1172500304.0,Start,71905761.0
Chaâbane Aït Abderrahim,1234096174.0,Start,77299043.0
Fatiha Serour,1218302579.0,Start,40934630.0
Fayçal Bentaleb,1217131488.0,Stub,73464226.0
Fazia Dahleb,1244337610.0,Stub,73546432.0
Foued Chehat,1242037866.0,Stub,72225113.0
Hamza Al Sid Cheikh,1248318178.0,Stub,72374662.0
Hocine Cherhabil,1242619010.0,Stub,71936152.0
Ibrahim Boughali,1230623499.0,Stub,69357237.0
Kamel Beldjoud,1214832676.0,Stub,63374819.0
Kamel Bidari,1249963763.0,GA,71816968.0
Lamine Bechichi,1111537825.0,Stub,59103836.0
Menduh Zavalani,1235824554.0,FA,55668009.0
Mohamed Belouizdad,1169278443.0,Start,54516484.0
Mohamed Bensalam,1235672021.0,Stub,59103577.0
Mohamed Bouslimani,1224118485.0,Stub,71984080.0
Mohamed Cherif Belmihoub,1226553342.0,Start,77002608.0
Mohamed Seghir Babes,1226280389.0,Stub,59079383.0
Mohamed Tarek Belaribi,1241671793.0,Start,71965500.0
Mokhtar Didouche,1227200392.0,Start,73784749.0
Nadir Kassab,1226271746.0,Stub,76992156.0
Nassim Diafat,1213342432.0,Stub,72382864.0
Noureddine Bahbouh,1099284595.0,Stub,59012695.0
Rabah Bouaziz,1232492563.0,Start,77147712.0
Rachid Bladehane,1186319378.0,Stub,72391597.0
Saïd Boualam,1240883461.0,Start,19132132.0
Saïd Chibane,1230435685.0,Stub,72426997.0
Souad Bendjaballah,1134649751.0,Stub,55843103.0
Taha Derbal,1213344636.0,Stub,73643212.0
Visar Ymeri,1248230838.0,Stub,31973610.0
Visarion Xhuvani,1135323365.0,C,41653012.0
Xhezair Zaganjori,1143896123.0,Start,20381423.0
Yahia Boukhari,1186319308.0,Stub,72480952.0
Youcef Belmehdi,1239235131.0,Stub,71926181.0
Youcef Chorfa,1214834266.0,Start,72050160.0
Abdelhak Saihi,1218004839.0,Stub,71993130.0
Abderezak Sebgag,1212579707.0,Stub,71935892.0
Abderrachid Tabbi,1218530483.0,Stub,71879294.0
Abel Chivukuvuku,1165626565.0,Start,2911041.0
Abraão Gourgel,1124441544.0,Stub,70373705.0
Adalberto Costa Júnior,1244123151.0,Stub,59146803.0
Adjany Costa,1242000475.0,Start,67009617.0
Adão Francisco Correia de Almeida,1209524394.0,Stub,76157103.0
Ahmed Zeghdar,1213778323.0,Stub,71943191.0
Alexandre Sebastião André,1172178750.0,Stub,59160194.0
Amar Makhloufi,1235394946.0,Stub,59046398.0
Amar Mohammedi,1226279231.0,Start,76863557.0
Ana Paula Chantre Luna de Carvalho,1209514022.0,Stub,76157096.0
Arlete Chimbinda,1177486404.0,Start,66494161.0
Azzedine Mihoubi,1233387309.0,Start,52461596.0
Bachir Messaitfa,1186318318.0,Stub,72067076.0
Bernarda Gonçalves Martins,1210193481.0,Stub,76156970.0
Brahim Merad,1244511083.0,Start,71800445.0
Carolina Cerqueira,1241977204.0,C,35728776.0
Cherif Rahmani,1053461144.0,Stub,59103471.0
Diamantino Pedro Azevedo,1209522689.0,Stub,76156983.0
Faustina Fernandes Inglês de Almeida Alves,1209514085.0,Stub,76157043.0
Fiel Domingos Constantino,1217387083.0,Stub,70373619.0
Hichem Sofiane Salaouatchi,1212186286.0,Stub,72040941.0
Jeremias Chitunda,1220287872.0,Start,7182495.0
Jesus Faria Maiato,1209631313.0,Stub,76157012.0
Jofre Van-Dúnem Júnior,1242307432.0,Stub,76157150.0
José Carvalho da Rocha,1242307441.0,Stub,76157101.0
José Luis de Matos,1242307337.0,Stub,76157091.0
João Baptista Borges,1227794006.0,C,71062166.0
Kafundanga Chingunji,1191431794.0,Stub,14941379.0
Kambamba Kulaxingo,1093124425.0,Stub,15020148.0
Kamel Rezig,1215901775.0,Stub,71976718.0
Kaoutar Krikou,1213795388.0,Stub,71943076.0
Karim Bibi Triki,1213794210.0,Start,71936426.0
Laid Rebiga,1248662394.0,Stub,71856593.0
Lakhdar Rakhroukh,1186317568.0,Stub,71984452.0
Layachi Yaker,1226060720.0,Start,75419664.0
Mohamed Ali Boughazi,1213870570.0,Start,76216650.0
Mohamed Maghlaoui,1053469610.0,Stub,59103344.0
Naima Salhi,1213404244.0,Stub,69509983.0
Paulino Baptista,1242307496.0,Start,71062546.0
Raul Danda,1158035855.0,Stub,67613741.0
Salim Saadi,1229426851.0,Stub,75534043.0
Samia Moualfi,1212181372.0,Stub,72004676.0
Sassi Lamouri,1181986973.0,Stub,59079334.0
Soraya Mouloudji,1226335614.0,Stub,71935626.0
Yacine Oualid,1214837789.0,Stub,72058737.0
Yassine Merabi,1214841607.0,Stub,71926661.0
Álvaro Arnaldo Craveiro,1194150567.0,Stub,59124706.0
Alex Browne (politician),1247631794.0,Stub,77426307.0
Ana Paula Sacramento Neto,1227909121.0,Stub,76157147.0
Augusto da Silva Tomás,1219179734.0,Stub,59144273.0
Branca Manuel Espirito Santo,1142474441.0,Stub,70373382.0
Caleb Gardiner,1241563135.0,Stub,77554952.0
Cheryl Mary Clare Hurst,1242813942.0,Stub,70458059.0
Clement Antonio,1241563106.0,Stub,77325498.0
Colin O'Neil Browne,1241563118.0,Stub,70459566.0
Daniel Ntongi-Nzinga,1187961349.0,Stub,15350356.0
David Mendes,1024544204.0,Stub,11645534.0
Elias Salupeto Pena,1220287990.0,Start,12740205.0
Fernando Faustino Muteka,1241977176.0,Stub,59144241.0
Francisco Manuel Monteiro de Queiróz,1242307454.0,Stub,76156723.0
Gail Christian,1241563122.0,Start,70464491.0
James Carlisle,1242152285.0,C,395065.0
Johnny Eduardo Pinnock,1242307359.0,Stub,57651944.0
Jonas Savimbi,1246026420.0,GA,264097.0
José Aníbal Lopes Rocha,1242307479.0,Stub,59124604.0
José Filomeno dos Santos,1228399791.0,C,41153135.0
José Jacinto Van-Dúnem,1242841039.0,C,77643490.0
José Ndele,1154991360.0,Stub,57583596.0
José Vieira Dias Van-Dúnem,1227004140.0,Stub,76156726.0
José da Rocha,1153488959.0,Stub,70373537.0
João Ernesto dos Santos,1226309621.0,Stub,72340359.0
Luzia Inglês Van-Dúnem,1240720719.0,Start,66363558.0
Luís Gomes Sambo,1242306989.0,Start,71062374.0
Mackenzie Frank,1247632329.0,Stub,77426752.0
Manuel Bernardo de Sousa,1233607984.0,Stub,59144188.0
Manuel Neto da Costa,1209411144.0,Stub,76151935.0
Manuel Tavares de Almeida,1209411217.0,Stub,76151917.0
Manuel Vicente,1250493481.0,C,34653679.0
Marcos Alexandre Nhunga,1209413818.0,Stub,76151884.0
Maria Cândida Pereira Teixeira,1218506469.0,Stub,76151944.0
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699.0,Stub,76156747.0
Mfulupinga Nlando Victor,1243272129.0,Start,41094312.0
Osbert Richard Frederick,1241563130.0,Start,70457407.0
Paula Cristina Francisco Coelho,1209410923.0,Stub,76151960.0
Pedro Mutinde,1209539718.0,Start,76156762.0
Pedro Pedalé,1115715527.0,Stub,59124349.0
Pinda Simão,1118804168.0,Stub,70373806.0
Randolph Beazer,1247631912.0,Stub,4553552.0
Rick James (actor),1213836084.0,C,71834725.0
Rosa Luís de Sousa Micolo,1246271741.0,Stub,76157000.0
Santana André Pitra,1165626399.0,Stub,59124543.0
Saíde Mingas,1242306726.0,GA,76496943.0
Shenella Mary Shadida Govia,1241563138.0,Stub,75227572.0
Studiation Brown,825090349.0,Stub,39196935.0
Tim Hector,1227026341.0,C,1706347.0
Wilfred Jacobs,1246340247.0,Stub,866767.0
William Haynes-Smith,1250666577.0,C,36172495.0
Alberto Manuel Campos,1166331326.0,Start,34245468.0
Alejo Castex,1231276700.0,C,30075886.0
Alincia Williams-Grant,1241592542.0,Start,56554702.0
Antonio Bermejo,1225811362.0,Start,33664981.0
Antonio Beruti,1243926512.0,Start,6073785.0
Bernard Percival,1241564686.0,Stub,32457882.0
Carlos Corach,1227620960.0,Stub,63021574.0
Carlos de la Rosa,1209668330.0,Stub,72175365.0
David Massiah,1247632248.0,Stub,77426320.0
Dwayne George,1247631631.0,Stub,77426402.0
Dámaso Centeno,1245130520.0,Stub,37675541.0
Edmond Mansoor,1248648606.0,Start,70457778.0
Exequiel Bustillo,1188044851.0,Start,49155928.0
Fabian Jones,1247632282.0,Stub,77426334.0
Federico Helguera,1162056054.0,Start,53925600.0
Germán Alfaro,1223272051.0,C,76609711.0
Guillermo Francos,1245178482.0,Start,75650879.0
Harold Lovell,1241564680.0,Start,1370238.0
Héctor Bidonde,1250713562.0,Start,9284882.0
Héctor Toty Flores,1067754685.0,Stub,57444909.0
Jamale Pringle,1241592215.0,Stub,75306515.0
Joanne Massiah,1241592526.0,Stub,69840005.0
Joaquín Belgrano,1229623675.0,Start,59327216.0
Joaquín Samuel de Anchorena,1227458965.0,Start,34245516.0
Johnathan Joseph (politician),1241563151.0,Stub,77426296.0
Jorge Coscia,1227459720.0,Stub,68921848.0
Juan Agustín Augier,1217815148.0,Stub,34244737.0
Juan Alemann,1227499891.0,Stub,75877571.0
Juan Carlos Del Bello,1225784914.0,Stub,68279846.0
Juan Fugl,1148828249.0,Stub,35019444.0
Juan José Gómez Centurión,1225793565.0,Stub,62063026.0
Kelvin Simon,1241592202.0,Start,77067103.0
Kiz Johnson,1247632301.0,Stub,77426354.0
Knacyntar Nedd,1247514093.0,Stub,77328102.0
Luis Carlos Gómez Centurión,1225793589.0,Stub,33775919.0
Luis L. Domínguez,1234469779.0,C,34269206.0
Lázaro Chiappe,1232135530.0,Stub,76905059.0
Manuel José García,1227616001.0,Stub,34116308.0
Marco Aurelio Avellaneda,1233010330.0,Start,76610410.0
Mario Cafiero,1135193654.0,Stub,65315071.0
Martín Guzmán,1227515965.0,C,62520482.0
Melford Nicholas,1241592535.0,Start,66270219.0
Máximo Etchecopar,1243279888.0,Start,24435828.0
Philip Shoul,1247632342.0,Stub,77328024.0
Rawdon Turner,1247632346.0,Stub,77426239.0
Rossana Chahla,1227517224.0,C,74226514.0
Santiago Gallo,1039135531.0,Start,34245355.0
Shawn Nicholas,1247632364.0,Stub,77426276.0
Silvano Bores,1225775647.0,Stub,34237682.0
Uladislao Augier,1217815124.0,Stub,33983813.0
Abel Posse,1245068036.0,C,11037532.0
Aldo Pignanelli,1106856167.0,Stub,65165279.0
Alejo Peyret,1138003698.0,B,13969711.0
Alfredo Olmedo,1226445117.0,Stub,71194197.0
Amán Rawson,1226040049.0,Start,37614763.0
Andrias Ghukasyan,1214660728.0,Start,38182964.0
Andrés Larroque,1248572448.0,Start,42602703.0
Aram Grigoryan (politician),1214660921.0,Start,38935009.0
Aram Manukyan,1214661551.0,Start,43861613.0
Arístides Villanueva,1227361697.0,Start,43580622.0
Ashot Arsenyan,1218601969.0,C,75181739.0
Carlos Kunkel,1225799546.0,Stub,66679031.0
Carlos Petroni,1199679676.0,C,4711836.0
Claudio Uberti,1245464700.0,C,44314693.0
Enrique S. Quintana,1016343362.0,Start,61319752.0
Fernando Iglesias (Argentine politician),1217866134.0,C,64207179.0
Fernando Nadra,1238199017.0,C,59875492.0
Gevorg Ghazaryan (politician),1180063729.0,Stub,51382743.0
Gevorg Melik-Karagyozyan,1180063778.0,Stub,51382725.0
Guillermo Montenegro,1096175549.0,Stub,48718026.0
Gurgen Egiazaryan,1103745376.0,Start,65758698.0
Hayk Chobanyan,1231768992.0,Start,62954035.0
Hrant Maloyan,1250311867.0,C,47716578.0
Héctor Tizón,1222501416.0,Start,36611677.0
Jorge Yoma,1191859791.0,C,75290900.0
Juan Mignaburu,1166892817.0,Stub,50311956.0
Juan Pablo Schiavi,1195011460.0,C,43733197.0
Julián de Leyva,1234698824.0,Stub,34238187.0
Khachatur Malumian,1210493386.0,C,17671927.0
Lucio Victorio Mansilla,1210433646.0,Start,63411508.0
Marcelo Muniagurria,1242262794.0,Start,60735110.0
Mariano Moreno,1248788227.0,FA,2646684.0
Martín Menem,1247590161.0,Start,75510988.0
Martín Sabbatella,1166890663.0,C,32035804.0
Miguel Ángel Pesce,1211044406.0,Start,64796030.0
Mikayel Kotanyan,1226313476.0,Start,76521170.0
Mónica López (politician),797826672.0,Stub,33618474.0
Nicolás Massot,1222899462.0,Start,67425992.0
Norberto La Porta,1225799869.0,Stub,34227726.0
Parunak Ferukhan,1214660598.0,Stub,39480125.0
Ricardo Kennedy,1240898573.0,Stub,59157871.0
Ruben Miroyan,1228290809.0,Start,76520554.0
Ruben Mirzakhanyan,1214661775.0,Start,52825646.0
Rómulo Sebastián Naón,1193099129.0,Start,30408343.0
Santiago G. O'Farrell,1228141029.0,Start,68384265.0
Tigran Karapetyan,1231946069.0,Start,49890680.0
Tigran Khzmalyan,1237979345.0,C,19327926.0
Vahagn Hovakimyan,1224369324.0,Start,76744874.0
Vahan Minakhoryan,1214661649.0,Stub,37676127.0
Vigen Chitechyan,1124301399.0,Stub,68921820.0
Alfons Adam,1244617588.0,Start,67603883.0
Andreas Hörtnagl,1215046038.0,Stub,6149096.0
Anton Hofer,1215044432.0,Start,32850726.0
Badal Muradyan,1214662146.0,Start,69622019.0
Citizens' Ministry,1200893975.0,C,37015016.0
Count Václav Antonín Chotek of Chotkov and Vojnín,1214682376.0,Start,19949832.0
Eduard Hedvicek,1215043825.0,Stub,2732436.0
Eduard von Grebmer zu Wolfsthurn,1216075327.0,Start,76374912.0
Ernst Hampel (politician),1232067132.0,Stub,63115789.0
Franz Dinghofer,1244619292.0,GA,77411982.0
Franz Jetzinger,1214236945.0,Start,20006161.0
Friedhelm Frischenschlager,1223497595.0,Start,38346616.0
Friedrich Wilhelm von Haugwitz,1215043658.0,C,7719777.0
Gabriel Noradoungian,1240224564.0,C,33570439.0
Garo Paylan,1249622641.0,C,50404059.0
Genrikh Poghosyan,1214662694.0,Start,34177704.0
George Abraham von Dyhrn,1231555745.0,Stub,31313608.0
Hans Ferlitsch,1240489075.0,Stub,4197699.0
Hans Peter Haselsteiner,1226351964.0,Start,36079970.0
Heinrich Alfred Barb,1214670404.0,Start,48931564.0
Hermann Stern,1215044008.0,C,70735542.0
Hrayr Tovmasyan,1243511026.0,Stub,63774722.0
Hugo Jury,1225140706.0,C,4256918.0
Ingo Appelt,1244447844.0,Stub,4252669.0
Ishkhan Saghatelyan,1243510830.0,GA,67643004.0
Israel Ori,1214986895.0,Start,5313724.0
Joseph Buttinger,1214670744.0,Start,4825936.0
Joseph Kenner,1169137921.0,Start,32207173.0
Jürgen Himmelbauer,1215045853.0,Stub,39588754.0
Karen Sargsyan (sociologist),1217803359.0,Start,74152574.0
Kegham Vanigian,1214670011.0,Start,40573188.0
Konstantin Jireček,1242771327.0,C,901939.0
Leopold Berchtold,1228353209.0,C,862679.0
Martiros Sarukhanyan,1214669503.0,Stub,42075810.0
"Maximilian Anton Karl, Count Baillet de Latour",1226152632.0,Start,26429545.0
Michael Killisch-Horn,1106829544.0,Stub,60026170.0
Narine Tukhikyan,1233470777.0,Start,76744761.0
Ohannes Tchekidjian,1215201883.0,Start,41520046.0
Paul Paul,1215924661.0,Start,38740149.0
Prince Carl of Solms-Braunfels,1237091760.0,C,3946756.0
Richard von Coudenhove-Kalergi,1243336388.0,C,42869603.0
Serop Zakaryan,1222543352.0,Stub,54156092.0
Sophia Kircher,1242552103.0,Stub,77186516.0
Suren Shadunts,1242146414.0,Start,8048537.0
Theodor Kery,1215046740.0,Stub,39619941.0
Ulrich Habsburg-Lothringen,1216088776.0,Start,46179557.0
Usub Bek Temuryan,1243494457.0,Stub,66901795.0
Vartkes Serengülian,1214669611.0,Start,19929382.0
Walter Guggenberger,1154443829.0,Start,25145889.0
Alexander Zach,1215187552.0,Stub,7919394.0
Aliabbas Salahzade,1211047878.0,Start,75545138.0
Anton von Winzor,1231556425.0,Stub,749702.0
Brigitta Pallauf,1215184008.0,Start,65342249.0
Christoph Matznetter,1215054758.0,Start,12993060.0
Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1243965585.0,Start,19358024.0
Dilara Aliyeva,1236388140.0,Start,10253465.0
Elchin Afandiyev,1243626881.0,Start,29360859.0
Elmar Lichtenegger,1215483185.0,Start,8702718.0
Emil Sax,1215185845.0,Start,5612787.0
Enver Alikhanov,1161577254.0,Stub,52593010.0
Fazail Agamali,1250642641.0,C,64212742.0
Ferdinand Mannlicher,1250188481.0,C,2503707.0
Franz Leitner (politician),1215054152.0,Stub,42225075.0
Franz Moroder,1228417930.0,C,60176601.0
"Georg Adam, Prince of Starhemberg",1215186237.0,C,42418604.0
Gerhard Pfanzelter,1238011369.0,Start,4429902.0
Gisela Wurm,1215187415.0,Stub,68435651.0
Gottfried von Kühnelt-Leddihn,1235730032.0,Start,65497736.0
Gregor Razumovsky (activist),1236098636.0,C,74627821.0
Gundaker Thomas Starhemberg,1246777408.0,Start,49426725.0
Heidemaria Onodi,1246630894.0,Start,76191109.0
Heinz Nittel,1226214871.0,Stub,23445933.0
Horst Rosenkranz,1215185628.0,Start,27135394.0
Hubert Klausner,1242810704.0,Start,4231920.0
Johann Anton von Pergen,1248404055.0,C,38482652.0
Johann Gregor Memhardt,1226209962.0,Stub,30639133.0
Josef Staribacher,1215186443.0,Stub,41832717.0
Julius Lippert (historian),1248432097.0,Stub,5529040.0
Julius Tandler,1153989705.0,Start,16195728.0
Józef Kożdoń,1215053905.0,C,25798636.0
Jürgen Mandl,1215054486.0,Stub,13125870.0
Karl Freiherr von Vogelsang,1231556362.0,Start,4999454.0
Karl Lütgendorf,1231556108.0,Stub,44960359.0
Karl Schmitzer,1215186109.0,Stub,50536736.0
Karl von Zinzendorf,1240906258.0,Start,28341664.0
"Leopold, Count von Thun und Hohenstein",1215186791.0,C,14600677.0
Leopold Poetsch,1248552155.0,Start,187247.0
Leyla Abdullayeva,1230366514.0,Start,66505277.0
Martin Kocher,1241392879.0,Stub,68477408.0
Muzamil Abdullayev,1223484511.0,Stub,71057696.0
Peter Schieder,1239601735.0,Start,76198558.0
Peter Strasser (politician),1240951343.0,Start,76188791.0
Reinhold Lopatka,1240127163.0,Stub,77154880.0
Renate Mann,1099978355.0,Stub,69330409.0
Sonja Zwazl,1235856770.0,Start,77177053.0
Tarlan Aliyarbayov,1240965677.0,GA,66499801.0
Thomas Prinzhorn,1215185462.0,C,28636801.0
Walter Pfrimer,1249288737.0,C,24165403.0
Wladimir von Pawlowski,1242446030.0,Stub,19746969.0
Abdurrahman Fatalibeyli,1241052691.0,C,9465756.0
Afshan Gadimbeyova,1243747432.0,Start,73701173.0
Ahmad Kordary,1187254621.0,Stub,57656422.0
Ajdar Ismailov,1157124148.0,C,52050192.0
